taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence,subspecies,form
Abalistes_filamentosus,1375.0,fishbase,1.0,Animalia,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Abalistes,Abalistes filamentosus,99.0,,
Abalistes_stellaris,3711.0,Cai_etal_2025,1.0,Animalia,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Abalistes,Abalistes stellaris,99.0,,
Abbottina_binhi,1.3,Cai_etal_2025,1.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abbottina,Abbottina binhi,99.0,,
Abbottina_obtusirostris,13.5,Cai_etal_2025-fishbase,2.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abbottina,Abbottina obtusirostris,99.0,,
Abbottina_rivularis,49.95,Killen_etal_2016-Cai_etal_2025,2.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abbottina,Abbottina rivularis,99.0,,
Abbottina_springeri,5.2,Cai_etal_2025,1.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Biwia,Biwia springeri,98.0,,
Abditomys_latidens,268.7,Smith_2003-Faurby_etal_2018-rdataretriever-pantheria_rdataretriever-amniote-life-hist,4.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abditomys,Abditomys latidens,99.0,,
Abeillia_abeillei,2.7,Wilman_etal_2014-rdataretriever-amniote-life-hist,2.0,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Abeillia,Abeillia abeillei,99.0,,
Abeomelomys_sevia,54.18,Faurby_etal_2018-rdataretriever-pantheria_rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abeomelomys,Abeomelomys sevia,99.0,,
Abeomylomys_sevia,52.0,Smith_2003,1.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abeomelomys,Abeomelomys sevia,85.0,,
Ablennes_hians,2949.0,Cai_etal_2025-fishbase,2.0,Animalia,Chordata,Actinopteri,Beloniformes,Belonidae,Ablennes,Ablennes hians,99.0,,
Ablepharus_bivittatus,4.382,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus bivittatus,99.0,,
Ablepharus_budaki,1.734,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus budaki,99.0,,
Ablepharus_chernovi,2.345,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus chernovi,99.0,,
Ablepharus_darvazi,1.51,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus darvazi,99.0,,
Ablepharus_deserti,3.887,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus deserti,99.0,,
Ablepharus_grayanus,0.6595,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus grayanus,99.0,,
Ablepharus_kitaibelii,2.866,Meiri_2018-Feldman_etal_2016-rdataretriever-amniote-life-hist,3.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus kitaibelii,99.0,,
Ablepharus_lindbergi,2.298,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus lindbergi,99.0,,
Ablepharus_pannonicus,3.112,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus pannonicus,98.0,,
Ablepharus_rueppellii,2.603,Meiri_2018-Feldman_etal_2016,2.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus rueppellii,99.0,,
Abralia_multihamata,10.0,sealifebase,1.0,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,Abralia multihamata,99.0,,
