Aesculu soctandra
Agarum spp.
Antarctic phytoplanktonic
Arisae matriphyllum
Bathylagidae
Boreal clubhook
Candiacervus spII
Cardiidae spp.
Chironomidae spp.
Dicolpomys spp.
Eutatus spp.
Glossotherium myloides
Limnephilidae spp.
Magistrate armhook
Mesopropithecus prithecoides
Mixotoxodon spp.
Muscidae copro
Mytilid 9.68E+00
N.gen spp
Neochoerus oesopi
Nothropus spp.
Onohippidium spp.
Paraceros spp.
Paramegatherium nazarrei
Phlaeothripidae pred
Piceaen gelmanii
Plesiorycteropus germainepetterae
Potomageton spp.
Protemnodon nombe
Pseudoupeneus macularus
Rhinopitechus roxella
Rhizophor amucronata
Sargassum spp.
Sclerocalyptus migoyanus
Spanioconnus wetterhali
Spirocerus kiakhtensis
Strongylocentr. droeb.
Tipulidae spp
Toxodon bilobidens
Tropical Atlantic
Unclassified flagellates
Unclassified microflagellates
Windhausenia spp.
