Abronia aurita
Acari phyto
Acari pred
Accer saccharum
Aesculu soctandra
Agarum spp.
Anax sp.
Antarctic phytoplanktonic
Arakawania musiva
Arisae matriphyllum
Asterina gibbosa
Aulacorhynchus griseigularis
Aulacorhynchus lautus
Babus callensis
Bernieria madagascariensis
Betula sp.
Boreal clubhook
Calamaria muelleri
CapriniGen spA
Carulerpa prolifera
Carulerpa racemosa
Carulerpa taxifolia
Catopsis s
Centengraulis mysticetus
Chara sp.
Charcharhinus obscurus
Chloris chloris
Chloris sinica
Coronella austriaca
CrayVertebrate Cambarus
Cyrtophora moluccensis
Desmarestia 
Dicroceros spA
Dipogon sp
Diptera spp
Draco sp.
Draco timorensis
Drepanocladusex annulatus
Elephas iolensis
Elephas namadicus
Enhalusa coroides
Hahnia sp
HexolobodontinaeGen spA
Holmesi 
Hystrix kiangsenensis
Hystrix refossa
Idothea spp.
Lamellibranchia 3.43E+00
Laminaria spp.
Lepidostoma (genus in Opisthokonta)
Leucoptera myricki
Limnophila sp
Limonia sp
Lonchorhi 
Lycosa 
Macropolepia sp
Magistrate armhook
Microcystis sp.
Myriophyllum spp.
Myrsinese guinii
Mystaci 
Mytilid 9.68E+00
N.gen spp
NaIa io
Nestus carbonarius
Nestus mendicus
Nestus ruralis
Nestus sp
Nitzschia pandora
Oenanthe albifrons
Oligochaete spp.
Pacific herring,
Paramegatherium nazarrei
Pentapleura spec
PeroryctinaeGen spA
Piceaen gelmanii
Pipinculus sp
Polyhydrus lineatus
Polysiphonia sp.
Potomageton spp.
Pseudoupeneus macularus
Quercuss 5.00E+05
Rhinopitechus avunculus
Rhinopitechus bieti
Rhinopitechus brelichi
Rhinopitechus roxella
Rhizophor amucronata
Scelopterus undulatus
Skate, Raja
Sphaerium sp.
Strongylocentr purpuratus
Strongylocentr. droeb.
Strongylocentr. franciscanus
Synchaeta sp.
Trigonodops lopesi
Tropical Atlantic
Tysanoessa longicaudata
Ulva spp.
Unclassified flagellates
Unclassified microflagellates
Vesicomyid 2.38E-03
