Aesculu soctandra
Agarum spp.
Anisus leucostoma
Antarctic phytoplanktonic
Arisae matriphyllum
Boreal clubhook
Bothrochilus bennettorum
Candiacervus spII
CapriniGen spA
Cardiidae spp.
Chironomidae spp.
Dicolpomys spp.
Dicroceros spA
Drepanocladusex annulatus
Eutatus spp.
Glossotherium myloides
Glyptotherium floridanum
HexolobodontinaeGen spA
Limnephilidae spp.
Lymnea peregra
Magistrate armhook
Mesopropithecus prithecoides
Mixotoxodon spp.
Muscidae copro
Mystaci 
Mytilid 9.68E+00
N.gen spp
Neochoerus oesopi
Nothropus spp.
Onohippidium spp.
Paraceros spp.
Paramegatherium nazarrei
PeroryctinaeGen spA
Phlaeothripidae pred
Piceaen gelmanii
Planorbis planorbis
Plesiorycteropus germainepetterae
Potomageton spp.
Pseudoupeneus macularus
Radix balthica
Rhinopitechus roxella
Rhizophor amucronata
Sargassum spp.
Sclerocalyptus migoyanus
Spanioconnus wetterhali
Stagnicola corvus
Stizostedion canadensis
Strongylocentr. droeb.
Strongylocentr. franciscanus
Tipulidae spp
Toxodon bilobidens
Tropical Atlantic
Unclassified flagellates
Unclassified microflagellates
Valvata sp
Windhausenia spp.
