Ablepharus kitaibelii
Abronia campbelli
Abronia matudai
Abronia mitchelli
Acanthocercus adramitanus
Acanthocercus annectans
Acanthocercus phillipsii
Acanthodactylus aegyptius
Acanthodactylus ahmaddisii
Acanthodactylus yemenicus
Acanthophis wellsi
Acanthosaura bintangensis
Acanthosaura brachypoda
Acanthosaura cardamomensis
Acanthosaura lepidogaster
Acanthosaura phuketensis
Acanthosaura titiwangsaensis
Acari phyto
Acari pred
Accer saccharum
Achalinus hainanus
Achalinus niger
Achalinus werneri
Acontias cregoi
Acontias lineatus
Acutotyphlops banaorum
Acutotyphlops infralabialis
Acutotyphlops solomonis
Acutotyphlops subocularis
Adelphicos daryi
Adelphicos ibarrorum
Adelphicos latifasciatum
Adelphicos nigrilatum
Adelphicos quadrivirgatum
Adelphicos veraepacis
Aesculu soctandra
Afroedura leoloensis
Afroedura multiporis
Afroedura namaquensis
Afroedura rondavelica
Afroedura rupestris
Afroedura tembulica
Afroedura tirasensis
Afrotyphlops angeli
Afrotyphlops anomalus
Afrotyphlops brevis
Afrotyphlops decorosus
Afrotyphlops gierrai
Afrotyphlops kaimosae
Afrotyphlops liberiensis
Afrotyphlops lineolatus
Afrotyphlops manni
Afrotyphlops nanus
Afrotyphlops nigrocandidus
Afrotyphlops obtusus
Afrotyphlops rondoensis
Afrotyphlops schmidti
Afrotyphlops tanganicanus
Afrotyphlops usambaricus
Agama hulbertorum
Agama lucyae
Agama mucosoensis
Agama somalica
Agama sylvana
Agraylea spp.
Alinea luciae
Alinea pergravis
Alluaudina mocquardi
Alopoglossus embera
Alopoglossus lehmanni
Alopoglossus viridiceps
Alsophis danforthi
Alsophis sanctonum
Alsophylax szczerbaki
Altiphylax stoliczkai
Altiphylax yarkandensis
Amazona tresmariae
Amblyodipsas katangensis
Amblyodipsas rodhaini
Amblyodipsas teitana
Amblyodipsas unicolor
Amblyodipsas ventrimaculata
Ameiva atrata
Ameiva atrigularis
Ameiva auberi
Ameiva bifrontata
Ameiva cineracea
Ameiva erythrocephala
Ameiva festiva
Ameiva fuliginosa
Ameiva fuscata
Ameiva griswoldi
Ameiva provitaae
Ameiva reticulata
Ameivula abalosi
Ameivula apipensis
Ameivula cipoensis
Ameivula confusioniba
Ameivula jalapensis
Ameivula littoralis
Ameivula mumbuca
Ameivula nativo
Ameivula nigrigula
Amerotyphlops costaricensis
Amerotyphlops lehneri
Amerotyphlops stadelmani
Amerotyphlops tenuis
Amerotyphlops trinitatus
Amphiesma inas
Amphiesma modestum
Amphiglossus alluaudi
Amphiglossus andranovahensis
Amphiglossus anosyensis
Amphiglossus cf.
Amphiglossus decaryi
Amphiglossus elongatus
Amphiglossus frontoparietalis
Amphiglossus gastrostictus
Amphiglossus mandady
Amphiglossus punctatus
Amphiglossus spilostichus
Amphiglossus valhallae
Amphisbaena absaberi
Amphisbaena albocingulata
Amphisbaena amazonica
Amphisbaena arda
Amphisbaena bassleri
Amphisbaena borelli
Amphisbaena brasiliana
Amphisbaena brevis
Amphisbaena caeca
Amphisbaena caiari
Amphisbaena carvalhoi
Amphisbaena caudalis
Amphisbaena cayemite
Amphisbaena cegei
Amphisbaena cerradensis
Amphisbaena cunhai
Amphisbaena filiformis
Amphisbaena frontalis
Amphisbaena fuliginosa
Amphisbaena gonavensis
Amphisbaena gracilis
Amphisbaena heathi
Amphisbaena heterozonata
Amphisbaena hiata
Amphisbaena hogei
Amphisbaena hyporissor
Amphisbaena ibijara
Amphisbaena infraorbitale
Amphisbaena kisteumacheri
Amphisbaena littoralis
Amphisbaena lumbricalis
Amphisbaena manni
Amphisbaena maranhensis
Amphisbaena medemi
Amphisbaena metallurga
Amphisbaena myersi
Amphisbaena nigricauda
Amphisbaena occidentalis
Amphisbaena octostegum
Amphisbaena pericensis
Amphisbaena persephone
Amphisbaena plumbea
Amphisbaena polygrammica
Amphisbaena polystegum
Amphisbaena rozei
Amphisbaena sanctaeritae
Amphisbaena saxosa
Amphisbaena scutigerum
Amphisbaena slateri
Amphisbaena slevini
Amphisbaena spurelli
Amphisbaena steindachneri
Amphisbaena stejnegeri
Amphisbaena supernumeraria
Amphisbaena talisiae
Amphisbaena townsendi
Amphisbaena trachura
Amphisbaena tragorrhectes
Amphisbaena vanzolinii
Amphisbaena varia
Amphisbaena vermicularis
Amphisbaena wiedi
Amphisbaena wuchereri
Anadia altaserrania
Anadia antioquensis
Anadia bitaeniata
Anadia blakei
Anadia bogotensis
Anadia brevifrontalis
Anadia bumanguesa
Anadia escalerae
Anadia hobarti
Anadia pamplonensis
Anadia pariaensis
Anadia petersi
Anadia pulchella
Anadia rhombifera
Anadia steyeri
Anadia vittata
Anatololacerta budaki
Anatololacerta pelasgiana
Ancylocranium ionidesi
Ancylocranium somalicum
Andinosaura aurea
Andinosaura petrorum
Andinosaura stellae
Andinosaura vespertina
Andinosaura vieta
Anguis cephallonica
Anguis incomptus
Anilios aspinus
Anilios broomi
Anilios centralis
Anilios chamodracaena
Anilios diversus
Anilios erycinus
Anilios ganei
Anilios leucoproctus
Anilios margaretae
Anilios micrommus
Anilios minimus
Anilios nema
Anilios nigrescens
Anilios nigricaudus
Anilios nigroterminatus
Anilios pilbarensis
Anilios polygrammicus
Anilios proximus
Anilios robertsi
Anilios silvia
Anilios tovelli
Anilios troglodytes
Anilios yampiensis
Anilios yirrikalae
Anilius scytale
Anisolepis grilli
Anisolepis undulatus
Anolis alayoni
Anolis alutaceus
Anolis antioquiae
Anolis apletolepis
Anolis beckeri
Anolis bellipeniculus
Anolis benedikti
Anolis bicaorum
Anolis birama
Anolis bourgeaei
Anolis caquetae
Anolis carlostoddi
Anolis caudalis
Anolis concolor
Anolis cristifer
Anolis cuscoensis
Anolis damulus
Anolis delafuentei
Anolis deltae
Anolis demissus
Anolis desechensis
Anolis desiradei
Anolis dissimilis
Anolis dollfusianus
Anolis favillarum
Anolis fungosus
Anolis gibbiceps
Anolis haguei
Anolis ibanezi
Anolis impetigosus
Anolis incredulus
Anolis inderenae
Anolis inexpectatus
Anolis insignis
Anolis juangundlachi
Anolis kahouannensis
Anolis kathydayae
Anolis kreutzi
Anolis laevis
Anolis lamari
Anolis lemniscatus
Anolis limon
Anolis longiceps
Anolis lyra
Anolis menta
Anolis microlepidotus
Anolis microtus
Anolis muralla
Anolis naufragus
Anolis nigrolineatus
Anolis noblei
Anolis notopholis
Anolis nubilus
Anolis occultus
Anolis oligaspis
Anolis paravertebralis
Anolis pecuarius
Anolis peruensis
Anolis pigmaequestris
Anolis pinchoti
Anolis poncensis
Anolis princeps
Anolis rejectus
Anolis rhombifer
Anolis richardii
Anolis ricordi
Anolis ricordii
Anolis rivalis
Anolis roatanensis
Anolis rodriguezi
Anolis rodriguezii
Anolis roosevelti
Anolis ruizii
Anolis rupinae
Anolis sacamecatensis
Anolis santamartae
Anolis savagei
Anolis scapularis
Anolis schiedii
Anolis solitarius
Anolis spilorhipis
Anolis squamulatus
Anolis sulcifrons
Anolis tetarii
Anolis toldo
Anolis triumphalis
Anolis umbrivagus
Anolis ustus
Anolis vaupesianus
Anolis vescus
Anolis vicarius
Anolis villai
Anolis wampuensis
Anolis williamsii
Anomalepis colombia
Anomalepis flavapices
Anomalepis mexicanus
Anomalopus brevicollis
Anomalopus gowi
Anomochilus weberi
Anoplohydrus aemulans
Antarctic phytoplanktonic
Antaresia stimsoni
Anthops ortus
Aparallactus guentheri
Aparallactus lineatus
Aparallactus moeruensis
Aparallactus nigriceps
Aparallactus turneri
Aparallactus werneri
Aphaniotis ornata
Aphelocheirus eastivalis
Apostolepis ambiniger
Apostolepis cerradoensis
Apostolepis christineae
Apostolepis dimidiata
Apostolepis dorbignyi
Apostolepis flavotorquata
Apostolepis goiasensis
Apostolepis intermedia
Apostolepis longicaudata
Apostolepis multicincta
Apostolepis nelsonjorgei
Apostolepis niceforoi
Apostolepis nigroterminata
Apostolepis parassimilis
Apostolepis phillipsae
Apostolepis pymi
Apostolepis quirogai
Apostolepis serrana
Apostolepis striata
Apostolepis tenuis
Apostolepis vittata
Aprasia clairae
Aprasia haroldi
Aprasia inaurita
Aprasia litorea
Aprasia repens
Aprasia wicherina
Aquila ayresii
Argyrogena vittacaudata
Argyrophis bothriorhynchus
Argyrophis giadinhensis
Argyrophis hypsobothrius
Argyrophis klemmeri
Argyrophis koshunensis
Argyrophis muelleri
Argyrophis oatesii
Argyrophis roxaneae
Argyrophis siamensis
Argyrophis trangensis
Arisae matriphyllum
Aristelliger reyesi
Arrhyton ainictum
Arrhyton callilaemus
Arrhyton dolichura
Arrhyton tanyplectum
Arthrosaura kockii
Arthrosaura reticulata
Arthrosaura tyleri
Artibeus anthonyi
Asaccus barani
Asaccus nasrullahi
Asaccus saffinae
Ascomorpha eucadis
Asiatyphlops diardii
Aspidelaps scutatus
Aspidomorphus schlegelii
Aspidoscelis bacatus
Aspidoscelis cozumelae
Aspidoscelis espiritensis
Aspidoscelis exsanguis
Aspidoscelis hyperthra
Aspidoscelis lineattissima
Aspidoscelis maslini
Aspidoscelis neomexicana
Aspidoscelis pai
Aspidoscelis parvisocia
Aspidoscelis parvisocius
Aspidoscelis picta
Aspidoscelis rodecki
Aspidoscelis scalaris
Aspidoscelis sexlineata
Aspidoscelis tesselata
Aspidoscelis uniparens
Aspidoscelis xanthonota
Aspidoscelis xanthonotus
Aspidura brachyorrhos
Aspidura ceylonensis
Aspidura copei
Aspidura deraniyagalae
Aspilota 1
Aspilota 2
Aspilota 3
Aspilota 5
Aspilota 6
Aspilota 7
Asthenodipsas lasgalenensis
Astylosternus sp.
Asymblepharus himalayanus
Asymblepharus nepalensis
Asymblepharus tragbulense
Ateuchosaurus pellopleurus
Atheris acuminata
Atheris anisolepis
Atheris barbouri
Atheris broadleyi
Atheris hirsuta
Atheris katangensis
Atheris squamigera
Atheris subocularis
Atlantolacerta andreanskyi
Atractaspis battersbyi
Atractaspis engdahli
Atractaspis leucomelas
Atractaspis magrettii
Atractaspis microlepidota
Atractaspis micropholis
Atractaspis phillipsi
Atractaspis reticulata
Atractaspis scorteccii
Atractaspis watsoni
Atractodes spec
Atractus acheronius
Atractus alphonsehogei
Atractus altagratiae
Atractus alytogrammus
Atractus andinus
Atractus apophis
Atractus atratus
Atractus attenuates
Atractus avernus
Atractus balzani
Atractus biseriatus
Atractus bocki
Atractus bocourti
Atractus boettgeri
Atractus boulengerii
Atractus caete
Atractus careolepis
Atractus carrioni
Atractus caxiuana
Atractus charitoae
Atractus chthonius
Atractus clarki
Atractus collaris
Atractus crassicaudatus
Atractus darienensis
Atractus depressiocellus
Atractus duboisi
Atractus duidensis
Atractus edioi
Atractus emmeli
Atractus eriki
Atractus erythromelas
Atractus favae
Atractus franciscopaivai
Atractus francoi
Atractus fuliginosus
Atractus gaigeae
Atractus guentheri
Atractus heliobelluomini
Atractus hoogmoedi
Atractus hostilitractus
Atractus indistinctus
Atractus lancinii
Atractus lasallei
Atractus latifrons
Atractus lehmanni
Atractus limitaneus
Atractus loveridgei
Atractus macondo
Atractus maculatus
Atractus major
Atractus manizalesensis
Atractus mariselae
Atractus medusa
Atractus melanogaster
Atractus melas
Atractus meridensis
Atractus micheleae
Atractus multidentatus
Atractus nasutus
Atractus natans
Atractus nicefori
Atractus nigricaudus
Atractus nigriventris
Atractus obesus
Atractus obtusirostris
Atractus occipitoalbus
Atractus oculotemporalis
Atractus paisa
Atractus pamplonensis
Atractus paraguayensis
Atractus paravertebralis
Atractus paucidens
Atractus pauciscutatus
Atractus peruvianus
Atractus potschi
Atractus punctiventris
Atractus resplendens
Atractus reticulatus
Atractus ronnie
Atractus sanctaemartae
Atractus sanguineus
Atractus savagei
Atractus schach
Atractus spinalis
Atractus steyermarki
Atractus surucucu
Atractus taeniatus
Atractus tamaensis
Atractus tamessari
Atractus thalesdelemai
Atractus titanicus
Atractus trivittatus
Atractus turikensis
Atractus typhon
Atractus univittatus
Atractus variegatus
Atractus ventrimaculatus
Atractus vertebralis
Atractus vertebrolineatus
Atractus vittatus
Atractus wagleri
Atractus werneri
Aulacorhynchus griseigularis
Aulacorhynchus lautus
Austrelaps ramsayi
Bachia bicolor
Bachia blairi
Bachia cacerensis
Bachia didactyla
Bachia geralista
Bachia huallagana
Bachia micromela
Bachia oxyrhina
Bachia pallidiceps
Bachia psamophila
Bachia pyburni
Bachia remota
Bachia scaea
Barkudia insularis
Basiliscus galeritus
Basiliscus vittatus
Bavayia ornata
Bellatorias frerei
Bellatorias obiri
Bitis rubida
Blanus vandellii
Blythia reticulata
Boaedon maculatus
Bogertophis subocularis
Boiga gokool
Boiga hoeseli
Boiga saengsomi
Boreal clubhook
Borikenophis sanctaecrucis
Bothrochilus bennettorum
Bothrochilus biakensis
Bothrochilus boa
Bothrochilus fredparkeri
Bothrochilus huonensis
Bothrochilus meridionalis
Bothrocophias colombianus
Bothrocophias microphthalmus
Bothrocophias myersi
Bothrops ayerbei
Bothrops bilineata
Bothrops muriciensis
Bothrops osbornei
Bothrops rhombeatus
Bothrops sanctaecrucis
Bothrops taeniata
Bothrops venezuelensis
Brachylophus gau
Brachymeles isangdaliri
Brachymeles mapalanggaon
Brachymeles suluensis
Brachymeles vermis
Brachymeles vindumi
Brachymeles wrighti
Brachyseps gastrostictus
Brachyseps mandady
Brachyseps spilostichus
Bronchocela celebensis
Bronchocela danieli
Bronchocela hayeki
Bronchocela jubata
Bronchocela orlovi
Bronchocela rubrigularis
Bronchocela vietnamensis
Brookesia bekolosy
Brookesia desperata
Brookesia perarmata
Brookesia vadoni
Bubalus grovesi
Buhoma vauerocegae
Bungarus niger
Bungarus persicus
Bungarus sindanus
Cadea palirostrata
Caipora bambuiorum
Calamaria abramovi
Calamaria abstrusa
Calamaria acutirostris
Calamaria albiventer
Calamaria alidae
Calamaria apraeocularis
Calamaria banggaiensis
Calamaria battersbyi
Calamaria bicolor
Calamaria boesemani
Calamaria borneensis
Calamaria brongersmai
Calamaria buchi
Calamaria butonensis
Calamaria ceramensis
Calamaria concolor
Calamaria crassa
Calamaria curta
Calamaria doederleini
Calamaria eiselti
Calamaria everetti
Calamaria forcarti
Calamaria gervaisii
Calamaria gialaiensis
Calamaria grabowskyi
Calamaria gracillima
Calamaria griswoldi
Calamaria hilleniusi
Calamaria ingeri
Calamaria javanica
Calamaria joloensis
Calamaria lateralis
Calamaria lautensis
Calamaria leucogaster
Calamaria linnaei
Calamaria longirostris
Calamaria lovii
Calamaria lumbricoidea
Calamaria lumholtzi
Calamaria margaritophora
Calamaria mecheli
Calamaria melanota
Calamaria modesta
Calamaria muelleri
Calamaria nuchalis
Calamaria palawanensis
Calamaria pavimentata
Calamaria pfefferi
Calamaria prakkei
Calamaria rebentischi
Calamaria sangi
Calamaria schlegeli
Calamaria schmidti
Calamaria septentrionalis
Calamaria sumatrana
Calamaria thanhi
Calamaria ulmeri
Calamaria virgulata
Calamaria yunnanensis
Calamodontophis ronaldoi
Calamophis katesandersae
Calamorhabdium kuekenthali
Calamorhabdium sp.
Calamornis heudei
Caledoniscincus aquilonius
Caledoniscincus notialis
Caledoniscincus pelletieri
Calliophis beddomei
Calliophis bivirgata
Calliophis gracilis
Calliophis haematoetron
Calliophis intestinalis
Calliophis maculiceps
Calliophis melanurus
Calliophis nigrescens
Calloselasma rhodostoma
Calotes bhutanensis
Calotes desilvai
Calotes liocephalus
Calotes manamendrai
Calotes maria
Calotes medogensis
Calotes minor
Calotes pethiyagodai
Calumma brevicornis
Calumma jejy
Calumma tsycorne
Calumma vatosoa
Calyptommatus sinebrachiatus
Camaroptera undosa
Camelia sasnqua
Camelus ferus
Camelus knoblochi
Candiacervus spII
Capitellum metallicum
Capitellum parvicruzae
Capreolus miyakoensis
CapriniGen spA
Carinascincus coventryi
Carinascincus greeni
Carlia beccarii
Carlia decora
Carlia dogare
Carlia fusca
Carlia inconnexa
Carlia insularis
Carlia isostriacantha
Carlia jarnoldae
Carlia johnstonei
Carlia leucotaenia
Carlia nigrauris
Carlia rubigo
Carlia spinauris
Carlia storri
Carlia sukur
