taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence,form,subspecies,variety
Abalistes_filamentosus,1375.0,fishbase,1.0,Animalia,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Abalistes,Abalistes filamentosus,99.0,,,
Abalistes_stellaris,3711.0,Cai_etal_2025,1.0,Animalia,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Abalistes,Abalistes stellaris,99.0,,,
Abatus_cavernosus,2.7,Brose_etal_2018,1.0,Animalia,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,Abatus,Abatus cavernosus,99.0,,,
Abatus_curvidens,1.4,Brose_etal_2018,1.0,Animalia,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,Abatus,Abatus curvidens,99.0,,,
Abatus_nimrodi,3.7,Brose_etal_2018,1.0,Animalia,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,Abatus,Abatus nimrodi,99.0,,,
Abatus_shackletoni,1.9,Brose_etal_2018,1.0,Animalia,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,Abatus,Abatus shackletoni,99.0,,,
Abax_ovalis,0.1935,Brose_etal_2018,1.0,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax ovalis,99.0,,,
Abax_parallelepipedus,0.4095,Brose_etal_2018,1.0,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax parallelepipedus,99.0,,,
Abax_parallelus,0.5437,Brose_etal_2018,1.0,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax parallelus,97.0,,,
Abbottina_binhi,1.3,Cai_etal_2025,1.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abbottina,Abbottina binhi,99.0,,,
Abbottina_obtusirostris,13.5,Cai_etal_2025-fishbase,2.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abbottina,Abbottina obtusirostris,99.0,,,
Abbottina_rivularis,49.95,Cai_etal_2025-Killen_etal_2016,2.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abbottina,Abbottina rivularis,99.0,,,
Abbottina_springeri,5.2,Cai_etal_2025,1.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Biwia,Biwia springeri,98.0,,,
Abditomys_latidens,269.0,Faurby_etal_2018-Smith_2003,2.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abditomys,Abditomys latidens,99.0,,,
Abeillia_abeillei,2.7,Wilman_etal_2014,1.0,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Abeillia,Abeillia abeillei,99.0,,,
Abeomelomys_sevia,52.0,Faurby_etal_2018-Smith_2003,2.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abeomelomys,Abeomelomys sevia,99.0,,,
Ablabesmyia_monilis,0.001004,Brose_etal_2018,1.0,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia monilis,99.0,,,
Ablennes_hians,2949.0,Cai_etal_2025-fishbase,2.0,Animalia,Chordata,Actinopteri,Beloniformes,Belonidae,Ablennes,Ablennes hians,99.0,,,
Ablepharus_bivittatus,4.382,Feldman_etal_2016-Meiri_2018,2.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus bivittatus,99.0,,,
Ablepharus_budaki,2.006,Feldman_etal_2016-Meiri_2018,2.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus budaki,99.0,,,
Ablepharus_chernovi,2.922,Feldman_etal_2016-Meiri_2018,2.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus chernovi,99.0,,,
Ablepharus_darvazi,1.51,Feldman_etal_2016-Meiri_2018,2.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus darvazi,99.0,,,
Ablepharus_deserti,3.887,Feldman_etal_2016-Meiri_2018,2.0,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus deserti,99.0,,,
