Aesculu soctandra
Arisae matriphyllum
Bathylagidae
Candiacervus spII
Chironomidae indet
Copepd nauplii
Copepod nauplii
Copepoda nauplii
Crithidia strigomonas
Cyclopoid copepodites
Euschides luctata
Glossotherium myloides
Hebridae indet
Isodyctia steifera
Lysigamasus jugincola
Lysigamasus minorleitneriae
Order enchytraeidae
Order gastropoda
Order nematoda
Order pseudoscorpionidae
Order psocoptera
Paramegatherium nazarrei
Piceaen gelmanii
Plesiorycteropus germainepetterae
Protemnodon nombe
Pseudoupeneus macularus
Rhinopitechus roxella
Rhizophor amucronata
Rhytonomus isobellina
Sclerocalyptus migoyanus
Spanioconnus wetterhali
Spirocerus kiakhtensis
Staurosirella leptostauron
Thalassionema proschkinae
Toxodon bilobidens
Trichomonas foetus
Trichomonas nasai
Trichomonas tritrichomonas
