Acroloxus lacustris
Aesculu soctandra
Anisus leucostoma
Archicaulioides diversus
Arisae matriphyllum
Austroflustra vulgaris
Biomphalaria globrata
Boonea jadisi
Candiacervus spII
Chironomidae indet
Chrysallida pellucida
Copepd nauplii
Copepod nauplii
Copepoda nauplii
Crithidia strigomonas
Cyclopoid copepodites
Elysia catula
Euschides luctata
Glossotherium myloides
Hebridae indet
Isodyctia steifera
Laternula elliptica
Lysigamasus jugincola
Lysigamasus minorleitneriae
Menestho truncatula
Oligochaeta indet
Oligochaeta type
Order diplopoda
Order enchytraeidae
Order gastropoda
Order nematoda
Order pseudoscorpionidae
Order psocoptera
Paramegatherium nazarrei
Pectinaria hyperboreia
Piceaen gelmanii
Planorbis planorbis
Plesiorycteropus germainepetterae
Pseudoupeneus macularus
Radix balthica
Rhinopitechus roxella
Rhizophor amucronata
Rhytonomus isobellina
Sabaco elongatus
Sclerocalyptus migoyanus
Spanioconnus wetterhali
Sphaeriontis dilatata
Stagnicola corvus
Thalassionema proschkinae
Thalestris rufovalescans
Toxodon bilobidens
Trichomonas nasai
Trichomonas tritrichomonas
