Aesculu soctandra
Archicaulioides diversus
Arisae matriphyllum
Biomphalaria globrata
Candiacervus spII
Chironomidae indet
Copepd nauplii
Copepod nauplii
Copepoda nauplii
Crithidia strigomonas
Cyclopoid copepodites
Elysia catula
Euschides luctata
Glossotherium myloides
Haploscoloplos fragilis
Hebridae indet
Isodyctia steifera
Lysigamasus jugincola
Lysigamasus minorleitneriae
Oligochaeta indet
Oligochaeta type
Order diplopoda
Order enchytraeidae
Order gastropoda
Order nematoda
Order pseudoscorpionidae
Order psocoptera
Paramegatherium nazarrei
Pectinaria hyperboreia
Piceaen gelmanii
Plesiorycteropus germainepetterae
Pseudoupeneus macularus
Rhinopitechus roxella
Rhizophor amucronata
Rhytonomus isobellina
Sclerocalyptus migoyanus
Spanioconnus wetterhali
Sphaeriontis dilatata
Thalassionema proschkinae
Thalestris rufovalescans
Toxodon bilobidens
Trichomonas nasai
Trichomonas tritrichomonas
