mass_g,kingdom,phylum,class,order,family,genus,species
1375.0,Animalia,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Abalistes,Abalistes filamentosus
3711.0,Animalia,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Abalistes,Abalistes stellaris
2.7,Animalia,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,Abatus,Abatus cavernosus
1.4,Animalia,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,Abatus,Abatus curvidens
1.9,Animalia,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,Abatus,Abatus shackletoni
0.3185,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax ovalis
0.6277,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax parallelepipedus
0.5437,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax parallelus
1.3,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abbottina,Abbottina binhi
13.5,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abbottina,Abbottina obtusirostris
49.95,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abbottina,Abbottina rivularis
5.2,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Biwia,Biwia springeri
2.7,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Abeillia,Abeillia abeillei
52.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abeomelomys,Abeomelomys sevia
0.001004,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia monilis
2949.0,Animalia,Chordata,Actinopteri,Beloniformes,Belonidae,Ablennes,Ablennes hians
4.382,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus bivittatus
2.006,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus budaki
2.922,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus chernovi
1.51,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus darvazi
3.887,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus deserti
0.6595,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus grayanus
3.704,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus kitaibelii
2.298,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus lindbergi
3.112,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus pannonicus
2.603,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus rueppellii
0.001727,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra alba
10.0,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,Abralia multihamata
2311.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abramis,Abramis brama
