mass_g,kingdom,phylum,class,order,family,genus,species
1375.0,Animalia,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Abalistes,Abalistes filamentosus
3711.0,Animalia,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Abalistes,Abalistes stellaris
1.3,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abbottina,Abbottina binhi
13.5,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abbottina,Abbottina obtusirostris
49.95,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abbottina,Abbottina rivularis
268.7,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abditomys,Abditomys latidens
54.18,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abeomelomys,Abeomelomys sevia
52.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Abeomelomys,Abeomelomys sevia
2949.0,Animalia,Chordata,Actinopteri,Beloniformes,Belonidae,Ablennes,Ablennes hians
4.382,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus bivittatus
1.734,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus budaki
2.345,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus chernovi
1.51,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus darvazi
3.887,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus deserti
0.6595,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus grayanus
2.866,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus kitaibelii
2.298,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus lindbergi
3.112,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus pannonicus
2.603,Animalia,Chordata,Squamata,Squamata,Scincidae,Ablepharus,Ablepharus rueppellii
10.0,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,Abralia multihamata
3982.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Abramis,Abramis brama
35.2,Animalia,Chordata,Actinopteri,Characiformes,Anostomidae,Abramites,Abramites hypselonotus
63.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrawayaomys,Abrawayaomys ruschii
307.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma bennettii
256.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma bennettii
158.0,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma boliviensis
291.3,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma budini
227.6,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma famatina
249.1,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Abrocoma shistacea
